student_id,age,gender,gpa,attendance_rate,missed_assignments,library_visits,lms_logins_per_week,screen_time_hours,sleep_hours,study_hours_per_day,financial_stress_score,help_requests,stress_score,mental_health_risk
741962be-6cb1-480f-9965-0ada785730ba,18,Male,3.22,55,3,4,3,9.1,8.4,0.5,7,0,1,Medium
b3031905-2914-4444-b18f-acb50c36dc87,18,Male,1.7,78,0,17,6,9.4,7.2,2.5,8,4,5,Low
3e4da14d-2bad-4977-97b3-f199e541bbd3,17,Male,3.09,61,4,4,6,11.6,5.0,0.6,2,2,6,Low
0a721e95-e6de-4788-80f8-358fae0ca58c,21,Male,3.19,74,1,29,12,3.7,4.8,3.8,6,4,4,Low
7b19e7e8-a88e-42e3-b7fc-8bb10e367aeb,18,Male,2.98,89,4,2,7,10.8,5.3,2.7,6,1,6,Low
df27f9f5-e4da-48f7-9606-b289c3f15c8e,22,Male,3.01,84,10,20,2,8.5,4.0,4.4,3,3,7,Medium
eb349bdc-1c4f-4bb5-a842-0737cbd52774,21,Other,3.06,54,10,10,1,5.1,3.2,1.9,5,0,4,Medium
b2ca8a47-6ede-440c-b3fb-6488fb1859b4,22,Male,2.97,65,10,14,4,5.4,4.5,3.4,5,5,10,High
0c3cf763-8ea7-4a2b-b2fd-cb541529bcd3,23,Other,2.2,54,2,16,15,3.8,3.3,0.7,3,5,7,High
b333ff29-cd4d-4434-9891-ee40bfe34dd7,18,Female,2.14,69,8,8,17,10.7,3.1,4.3,9,2,6,Medium
7570b3f2-ad63-49a2-9015-e4acec37f6fa,18,Female,2.3,69,0,30,8,11.7,7.6,3.0,2,5,5,Low
ef57efc2-6940-4d6a-9c72-fd8fbedbcc61,25,Other,1.6,63,2,17,16,11.3,6.6,2.9,2,2,5,Low
0c8d3051-0d56-48e8-a822-b760058ac80d,20,Male,1.72,76,1,2,15,10.3,8.9,3.2,3,1,8,Medium
72edcb28-4d1e-4dca-a80b-d571b8ec7f8c,25,Male,1.8,95,9,13,6,11.4,7.5,4.1,5,3,6,Medium
76e6153a-62af-441c-bd7b-26201ec0e781,24,Other,2.35,55,3,2,10,3.2,6.3,3.5,1,0,1,Low
